cpse_code,material_code,description,uom,category,subcategory,manufacturer,manufacturer_part_number,material_grade,size,pressure_class,voltage,power,frequency,diameter,schedule,seal_type,body_material,trim_material,end_connection,length
NTPC,NTPC-DEMO-36EBE5,FASTENER BOSSARD JF1C-2IACXD1FE-X9CJ-CZNC 43 INCH 5 INCH A4-80 METRIC COARSE,EACH,CAT-FST,Fastener,Bossard,JF1C-2IACxD1FE-X9CJ-CZNC,,,,,,,43 inch,,,,,,
ONGC,ONGC-DEMO-854389,CABLE HAVELLS 7X1UC X ZFQZ SQMM HYFB/HVIG WT4V 81 EACH 594.39 MM2 33KV XLPE,EACH,CAT-CBL,Cable,Havells,7X1UC x ZFQZ sqmm HYFB/HVIG WT4V,,,,,,,,,,,,,
NTPC,NTPC-DEMO-6FB814,BEARING NTN Z2DCLPLL8R56 (E.G. 6204-2RS1/C3) 161 INCH 557 INCH 465 INCH 2RS,EACH,CAT-BRG,Bearing,NTN,Z2DCLPLL8R56 (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,
BHEL,BHEL-DEMO-DB9E00,INSTRUMENTATION ENDRESS+HAUSER WGDH-FEMH-2CCG-ASUI-MYVI 6291 DEGF 0-10V 1/2 NPT 0.1%,EACH,CAT-INS,Instrumentation,Endress+Hauser,WGDH-FEMH-2CCG-ASUI-MYVI,,,,,,,,,,,,,
SAIL,SAIL-DEMO-EEA5D3,ELECTRICAL COMPONENT ABB 38UN-NEEE-R66C-DL7T 4119.49 KA 7827 KV 3P 122 KA,EACH,CAT-ELC,Electrical Component,ABB,38UN-NEEE-R66C-DL7T,,,,,,,,,,,,,
IOCL,IOCL-DEMO-8B016E,ELECTRICAL COMPONENT SCHNEIDER ELECTRIC XRQN-OGRI-P8JQ-JBJG 3060.65 A 2069 KV 3P 90 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,XRQN-OGRI-P8JQ-JBJG,,,,,,,,,,,,,
SAIL,SAIL-DEMO-2B25BE,INSTRUMENTATION YOKOGAWA 0Q9X-Y216-VEVG-QZOA-YLQR 1295 BAR 4-20MA SANITARY 1.0%,EACH,CAT-INS,Instrumentation,Yokogawa,0Q9X-Y216-VEVG-QZOA-YLQR,,,,,,,,,,,,,
ONGC,ONGC-DEMO-C0A7EC,PUMP FLOWSERVE WKBM-HSBR-Q8Z2-ORHK 19730 M3/H 552 FT 313.89 KW,EACH,CAT-PMP,Pump,Flowserve,WKBM-HSBR-Q8Z2-ORHK,,,,,313.89 KW,,,,,,,,
SAIL,SAIL-DEMO-A86702,PUMP KSB H3YX-TV51-7PYX-6A5P 11419 GPM 957 M 293.06 KW,EACH,CAT-PMP,Pump,KSB,H3YX-TV51-7PYX-6A5P,,,,,293.06 KW,,,,,,,,
SAIL,SAIL-DEMO-94DD62,MOTOR ABB 7N2X-HGC2-WIY6-DZKK-CHGV 5248.47 HP 4389 V 50 HZ 1000 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,ABB,7N2X-HGC2-WIY6-DZKK-CHGV,,,,4389 V,5248.47 HP,50 HZ,,,,,,,
NTPC,NTPC-DEMO-26E133,VALVE FLOWSERVE 1P69-3LPH-Y9UH-4EOJ-ZSVA-X4FA 58.6 MM PN16 LCC WAFER,EACH,CAT-VLV,Valve,Flowserve,1P69-3LPH-Y9UH-4EOJ-ZSVA-X4FA,,58.6 mm,PN16,,,,,,,LCC,,Wafer,
NTPC,NTPC-DEMO-46BC01,CABLE LAPP GPK1C X J7F0 SQMM ED1N/S31O VVIS 71 EACH 615.35 MM2 66KV XLPE,EACH,CAT-CBL,Cable,LAPP,GPK1C x J7F0 sqmm ED1N/S31O VVIS,,,,,,,,,,,,,
SAIL,SAIL-DEMO-184736,ELECTRICAL COMPONENT SCHNEIDER ELECTRIC SGON-I2GV-QH15-N9M8 5525.54 KA 502309 V 2P 25 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,SGON-I2GV-QH15-N9M8,,,,,,,,,,,,,
BHEL,BHEL-DEMO-00E802,INSTRUMENTATION WIKA SL4H-RI5U-21JO-1GOJ-A32N 8013 PSI 0-10V 1/2 NPT 0.1%,EACH,CAT-INS,Instrumentation,WIKA,SL4H-RI5U-21JO-1GOJ-A32N,,,,,,,,,,,,,
SAIL,SAIL-DEMO-E80DC6,PIPE TENARIS XIB4-FTWA-YACL-C323-PGEP 49.11 INCH SCH40 ASTM A333 GR 6 9 M,EACH,CAT-PIP,Pipe,Tenaris,XIB4-FTWA-YACL-C323-PGEP,ASTM A333 Gr 6,,,,,,49.11 inch,SCH40,,,,,
ONGC,ONGC-DEMO-73429E,VALVE FLOWSERVE 7QT2-QODB-WZJ2-YF29-LRUW-68L8 43.32 MM PN40 BRONZE BUTT WELD,EACH,CAT-VLV,Valve,Flowserve,7QT2-QODB-WZJ2-YF29-LRUW-68L8,,43.32 mm,PN40,,,,,,,Bronze,,Butt Weld,
NTPC,NTPC-DEMO-D02F3F,VALVE KITZ DBGB-N00V-TS5T-0UYX-AUJN-ICTZ 14.52 MM 300# BRONZE SOCKET WELD,EACH,CAT-VLV,Valve,KITZ,DBGB-N00V-TS5T-0UYX-AUJN-ICTZ,,14.52 mm,300#,,,,,,,Bronze,,Socket Weld,
NTPC,NTPC-DEMO-327E0B,FLANGE ULMA NBM5-2R1G-OGCQ-OI4X-8T5D 25.09 MM 900# BLIND FLAT FACE (FF),EACH,CAT-FLG,Flange,Ulma,NBM5-2R1G-OGCQ-OI4X-8T5D,,25.09 mm,900#,,,,,,,,,,
SAIL,SAIL-DEMO-0193CB,VALVE KITZ 1XFF-6JIH-TR3W-SVRQ-M8YZ-1H93 53.42 INCH PN16 DUCTILE IRON BUTT WELD,EACH,CAT-VLV,Valve,KITZ,1XFF-6JIH-TR3W-SVRQ-M8YZ-1H93,,53.42 inch,PN16,,,,,,,Ductile Iron,,Butt Weld,
SAIL,SAIL-DEMO-969FE5,PIPE NIPPON STEEL QIFJ-G3HO-5WGX-WLU9-WPY9 111.52 INCH SCH40 ASTM A333 GR 6 12 M,EACH,CAT-PIP,Pipe,Nippon Steel,QIFJ-G3HO-5WGX-WLU9-WPY9,ASTM A333 Gr 6,,,,,,111.52 inch,SCH40,,,,,
ONGC,ONGC-DEMO-47CB24,LUBRICANT KLÜBER 53KE 4EVG N42R - WOVB ISO VG 220 SILICONE NLGI 2 913 L,EACH,CAT-LUB,Lubricant,Klüber,53KE 4EVG N42R - WOVB,,,,,,,,,,,,,
SAIL,SAIL-DEMO-6E2354,VALVE EMERSON F24P-GBI4-E8R2-LPQ0-EFM6-MO41 53.5 MM 150# A105 SOCKET WELD,EACH,CAT-VLV,Valve,Emerson,F24P-GBI4-E8R2-LPQ0-EFM6-MO41,,53.5 mm,150#,,,,,,,A105,,Socket Weld,
IOCL,IOCL-DEMO-EC188D,MOTOR WEG WRXD-NX8A-M0EY-7G7I-J4XD 1976.11 KW 9840 KV 60 HZ 1800 RPM ODP,EACH,CAT-MTR,Motor,WEG,WRXD-NX8A-M0EY-7G7I-J4XD,,,,9840 KV,1976.11 kW,60 HZ,,,,,,,
BHEL,BHEL-DEMO-511761,PIPE ARCELORMITTAL H1KU-5EPS-G0RO-M8BC-K5JG 16.89 INCH SCH40 ASTM A106 GR B 8 FT,EACH,CAT-PIP,Pipe,ArcelorMittal,H1KU-5EPS-G0RO-M8BC-K5JG,ASTM A106 Gr B,,,,,,16.89 inch,SCH40,,,,,
BHEL,BHEL-DEMO-8410BA,BEARING TIMKEN 4OEDXQ1MTO1K (E.G. 6204-2RS1/C3) 800 INCH 1813 INCH 423 MM ZZ,EACH,CAT-BRG,Bearing,Timken,4OEDXQ1MTO1K (e.g. 6204-2RS1/C3),,,,,,,,,ZZ,,,,
SAIL,SAIL-DEMO-EBD7F6,ELECTRICAL COMPONENT SIEMENS D70C-MSQB-972Q-4J1O 3280.73 KA 533552 V 1P 133 KA,EACH,CAT-ELC,Electrical Component,Siemens,D70C-MSQB-972Q-4J1O,,,,,,,,,,,,,
IOCL,IOCL-DEMO-E77420,FASTENER WÜRTH B797-JK2BXLE2X-CJ96-KOSX 66 INCH 265 MM L7 UNF,EACH,CAT-FST,Fastener,Würth,B797-JK2BxLE2X-CJ96-KOSX,,,,,,,66 inch,,,,,,
SAIL,SAIL-DEMO-C3FB5F,FLANGE MELESI XIG3-MMFB-3LD6-HAA2-WU1B 58.4 MM 900# SLIP-ON RING TYPE JOINT (RTJ),EACH,CAT-FLG,Flange,Melesi,XIG3-MMFB-3LD6-HAA2-WU1B,,58.4 mm,900#,,,,,,,,,,
IOCL,IOCL-DEMO-2CE2D8,FASTENER BOSSARD RT9M-5D4KX32UE-M5O0-0AEK 95 MM 468 INCH 12.9 METRIC COARSE,EACH,CAT-FST,Fastener,Bossard,RT9M-5D4Kx32UE-M5O0-0AEK,,,,,,,95 mm,,,,,,
NTPC,NTPC-DEMO-8A1BBE,PIPE JINDAL SAW 689R-5I5J-I3DR-X2KD-88HU 98.25 INCH SCH160 ASTM A106 GR B 6 M,EACH,CAT-PIP,Pipe,Jindal SAW,689R-5I5J-I3DR-X2KD-88HU,ASTM A106 Gr B,,,,,,98.25 inch,SCH160,,,,,
IOCL,IOCL-DEMO-2AAEC0,MOTOR WEG 09QT-NU59-4MFQ-YQBG-XUJI 3.68 HP 6976 V 60 HZ 3000 RPM TEFC,EACH,CAT-MTR,Motor,WEG,09QT-NU59-4MFQ-YQBG-XUJI,,,,6976 V,3.68 HP,60 HZ,,,,,,,
NTPC,NTPC-DEMO-46099A,LUBRICANT CASTROL IU1C UBKX 6PG2 - 78NU SAE 10W-40 MINERAL NLGI 3 870 KG,EACH,CAT-LUB,Lubricant,Castrol,IU1C UBKX 6PG2 - 78NU,,,,,,,,,,,,,
NTPC,NTPC-DEMO-C92EE0,ELECTRICAL COMPONENT SIEMENS PGUI-YQ3Y-KLTK-6GLA 1100.89 A 275256 V 2P 97 KA,EACH,CAT-ELC,Electrical Component,Siemens,PGUI-YQ3Y-KLTK-6GLA,,,,,,,,,,,,,
SAIL,SAIL-DEMO-BDA6BF,VALVE VELAN D4J6-54GC-HTUO-5T7E-9UF5-0TJF 35.56 MM 900# LCC SOCKET WELD,EACH,CAT-VLV,Valve,Velan,D4J6-54GC-HTUO-5T7E-9UF5-0TJF,,35.56 mm,900#,,,,,,,LCC,,Socket Weld,
SAIL,SAIL-DEMO-62B42B,PPE HONEYWELL 5UVF-TWR8-FTYN-ZASB 7 NITRILE EN 388 BLUE,EACH,CAT-PPE,PPE,Honeywell,5UVF-TWR8-FTYN-ZASB,,7,,,,,,,,,,,
IOCL,IOCL-DEMO-BBB0EB,PUMP KSB B3PP-KTIL-2ACQ-DKVP 5655 GPM 1437 FT 4754.24 HP,EACH,CAT-PMP,Pump,KSB,B3PP-KTIL-2ACQ-DKVP,,,,,4754.24 HP,,,,,,,,
ONGC,ONGC-DEMO-1D08E4,INSTRUMENTATION HONEYWELL TUAF-594D-LP61-HJE4-3TDJ 8365 DEGF 0-10V FLANGED 2 INCH 1.0%,EACH,CAT-INS,Instrumentation,Honeywell,TUAF-594D-LP61-HJE4-3TDJ,,,,,,,,,,,,,
ONGC,ONGC-DEMO-3095C9,PIPE NIPPON STEEL 0ADK-NZOM-FFVD-PONO-G4BL 82.82 MM XS API 5L X52 8 FT,EACH,CAT-PIP,Pipe,Nippon Steel,0ADK-NZOM-FFVD-PONO-G4BL,API 5L X52,,,,,,82.82 mm,XS,,,,,
IOCL,IOCL-DEMO-DF9A98,PPE DUPONT M9SK-Z3DR-8C66-HBV0 M POLYCARBONATE EN 397 WHITE,EACH,CAT-PPE,PPE,DuPont,M9SK-Z3DR-8C66-HBV0,,M,,,,,,,,,,,
ONGC,ONGC-DEMO-0436C0,CABLE LAPP SYT8C X MT63 SQMM TFAA/UWYC UF6G 1 EACH 960.61 AWG 11KV XLPE,EACH,CAT-CBL,Cable,LAPP,SYT8C x MT63 sqmm TFAA/UWYC UF6G,,,,,,,,,,,,,
BHEL,BHEL-DEMO-AD83A9,INSTRUMENTATION HONEYWELL 4F3Z-05UJ-AONH-M18J-K1MK 6946 BAR MODBUS 1/2 NPT 0.25%,EACH,CAT-INS,Instrumentation,Honeywell,4F3Z-05UJ-AONH-M18J-K1MK,,,,,,,,,,,,,
ONGC,ONGC-DEMO-AEEF30,FASTENER KAMAX RP62-LNSAXJ116-U76A-TTX4 20 MM 263 MM 12.9 UNC,EACH,CAT-FST,Fastener,Kamax,RP62-LNSAxJ116-U76A-TTX4,,,,,,,20 mm,,,,,,
BHEL,BHEL-DEMO-14CFF4,PUMP ITT GOULDS BXZO-M913-BRIR-8AL2 11191 GPM 2209 M 63.6 KW,EACH,CAT-PMP,Pump,ITT Goulds,BXZO-M913-BRIR-8AL2,,,,,63.6 KW,,,,,,,,
ONGC,ONGC-DEMO-334794,BEARING SKF NCH1KWDFW0BQ (E.G. 6204-2RS1/C3) 265 MM 88 MM 232 MM OPEN,EACH,CAT-BRG,Bearing,SKF,NCH1KWDFW0BQ (e.g. 6204-2RS1/C3),,,,,,,,,Open,,,,
SAIL,SAIL-DEMO-8BE911,VALVE FLOWSERVE 9P6J-DH6L-NWH4-I5LX-7OIE-L98S 46.12 INCH 300# DUCTILE IRON FLANGED,EACH,CAT-VLV,Valve,Flowserve,9P6J-DH6L-NWH4-I5LX-7OIE-L98S,,46.12 inch,300#,,,,,,,Ductile Iron,,Flanged,
SAIL,SAIL-DEMO-8C948E,PPE ANSELL G6XW-DJYZ-AZP0-GZ5N 8 LEATHER CE YELLOW,EACH,CAT-PPE,PPE,Ansell,G6XW-DJYZ-AZP0-GZ5N,,8,,,,,,,,,,,
IOCL,IOCL-DEMO-9921C6,PPE HONEYWELL 88V8-VEC3-RSTY-2XDU 9 POLYCARBONATE ANSI BLUE,EACH,CAT-PPE,PPE,Honeywell,88V8-VEC3-RSTY-2XDU,,9,,,,,,,,,,,
NTPC,NTPC-DEMO-7FD4B7,CABLE NEXANS 6TRXC X H4BZ SQMM VVTH/DRWI YYC6 100 EACH 816.42 MM2 3.3KV PVC,EACH,CAT-CBL,Cable,Nexans,6TRXC x H4BZ sqmm VVTH/DRWI YYC6,,,,,,,,,,,,,
BHEL,BHEL-DEMO-7AA46E,BEARING NSK CGD8JWC1CH6H (E.G. 6204-2RS1/C3) 729 INCH 909 INCH 403 MM ZZ,EACH,CAT-BRG,Bearing,NSK,CGD8JWC1CH6H (e.g. 6204-2RS1/C3),,,,,,,,,ZZ,,,,
SAIL,SAIL-DEMO-11E68A,LUBRICANT CASTROL MNCL ICWM DCSV - PB2O ISO VG 220 ESTER NLGI 0 755 L,EACH,CAT-LUB,Lubricant,Castrol,MNCL ICWM DCSV - PB2O,,,,,,,,,,,,,
ONGC,ONGC-DEMO-BA0F2C,CABLE PRYSMIAN 2B7VC X 59H2 SQMM DDBN/PXVR Q50L 81 EACH 864.46 MM2 3.3KV PVC,EACH,CAT-CBL,Cable,Prysmian,2B7VC x 59H2 sqmm DDBN/PXVR Q50L,,,,,,,,,,,,,
BHEL,BHEL-DEMO-3E70E0,LUBRICANT TOTALENERGIES V2SA DGWM GPNT - DJJB SAE 10W-40 SYNTHETIC (PAO) NLGI 2 419 L,EACH,CAT-LUB,Lubricant,TotalEnergies,V2SA DGWM GPNT - DJJB,,,,,,,,,,,,,
SAIL,SAIL-DEMO-907890,LUBRICANT TOTALENERGIES P4IU 7UN8 3M1S - ODL3 ISO VG 46 ESTER NLGI 0 889 L,EACH,CAT-LUB,Lubricant,TotalEnergies,P4IU 7UN8 3M1S - ODL3,,,,,,,,,,,,,
BHEL,BHEL-DEMO-2B855F,PPE DUPONT JRIV-5VN0-24KS-BKNB L KEVLAR EN 397 YELLOW,EACH,CAT-PPE,PPE,DuPont,JRIV-5VN0-24KS-BKNB,,L,,,,,,,,,,,
IOCL,IOCL-DEMO-6F4C72,FASTENER KAMAX IPPI-HYKKX4L8S-2E3C-F8NP 2 MM 425 MM 10.9 UNF,EACH,CAT-FST,Fastener,Kamax,IPPI-HYKKx4L8S-2E3C-F8NP,,,,,,,2 mm,,,,,,
BHEL,BHEL-DEMO-10750D,PUMP FLOWSERVE 4BZ5-WMPS-OS9E-NLXI 6332 M3/H 558 FT 1025.72 KW,EACH,CAT-PMP,Pump,Flowserve,4BZ5-WMPS-OS9E-NLXI,,,,,1025.72 KW,,,,,,,,
ONGC,ONGC-DEMO-D931E6,ELECTRICAL COMPONENT SIEMENS E7DM-3PX7-DK8N-IAW6 18.26 KA 387078 V 1P 116 KA,EACH,CAT-ELC,Electrical Component,Siemens,E7DM-3PX7-DK8N-IAW6,,,,,,,,,,,,,
SAIL,SAIL-DEMO-F1F629,MOTOR WEG E5ZP-7U5C-L62F-T2YF-A4OF 4690.63 HP 10129 KV 60 HZ 3000 RPM ODP,EACH,CAT-MTR,Motor,WEG,E5ZP-7U5C-L62F-T2YF-A4OF,,,,10129 KV,4690.63 HP,60 HZ,,,,,,,
ONGC,ONGC-DEMO-516FF6,VALVE EMERSON 5C78-FOPY-GL03-08RR-UVBF-F0WD 56.18 MM 600# DUCTILE IRON SOCKET WELD,EACH,CAT-VLV,Valve,Emerson,5C78-FOPY-GL03-08RR-UVBF-F0WD,,56.18 mm,600#,,,,,,,Ductile Iron,,Socket Weld,
BHEL,BHEL-DEMO-08FC86,FASTENER BOSSARD 2U8E-Y5LAXRITU-Y9QJ-A8W5 50 MM 31 INCH B7 METRIC COARSE,EACH,CAT-FST,Fastener,Bossard,2U8E-Y5LAxRITU-Y9QJ-A8W5,,,,,,,50 mm,,,,,,
BHEL,BHEL-DEMO-2636A8,PPE DUPONT K88J-FYWR-YPE0-5ID6 S KEVLAR ANSI YELLOW,EACH,CAT-PPE,PPE,DuPont,K88J-FYWR-YPE0-5ID6,,S,,,,,,,,,,,
IOCL,IOCL-DEMO-4E432D,INSTRUMENTATION YOKOGAWA Q8PL-OJTE-LSB6-8K0D-TZTG 7281 DEGF MODBUS 1/4 NPT 0.25%,EACH,CAT-INS,Instrumentation,Yokogawa,Q8PL-OJTE-LSB6-8K0D-TZTG,,,,,,,,,,,,,
SAIL,SAIL-DEMO-28973F,PPE 3M TIZQ-KZXE-G5ZY-C165 M NITRILE ANSI YELLOW,EACH,CAT-PPE,PPE,3M,TIZQ-KZXE-G5ZY-C165,,M,,,,,,,,,,,
SAIL,SAIL-DEMO-382F5E,VALVE CRANE 48WN-V8AQ-6C7L-FVW2-CI1P-VPVS 56.53 MM 2500# LCC THREADED,EACH,CAT-VLV,Valve,Crane,48WN-V8AQ-6C7L-FVW2-CI1P-VPVS,,56.53 mm,2500#,,,,,,,LCC,,Threaded,
NTPC,NTPC-DEMO-C9CF55,FASTENER KAMAX 8SV4-02F3XO1SR-AQMG-QYBY 96 MM 288 MM A4-80 UNC,EACH,CAT-FST,Fastener,Kamax,8SV4-02F3xO1SR-AQMG-QYBY,,,,,,,96 mm,,,,,,
IOCL,IOCL-DEMO-793BD1,BEARING SKF 27R2NC7E7ARS (E.G. 6204-2RS1/C3) 134 INCH 1285 MM 434 INCH 2RS,EACH,CAT-BRG,Bearing,SKF,27R2NC7E7ARS (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,
BHEL,BHEL-DEMO-327F49,GASKET GARLOCK 5HQN-5QIE-79EN-BYI0-1LNW-MFWD 66.01 INCH 900# PTFE GRAPHITE/SS316,EACH,CAT-GSK,Gasket,Garlock,5HQN-5QIE-79EN-BYI0-1LNW-MFWD,,66.01 inch,900#,,,,,,,,,,
IOCL,IOCL-DEMO-381C7E,CABLE PRYSMIAN U0LDC X 2HUM SQMM R74R/R8R0 FK5W 59 EACH 257.92 MM2 33KV RUBBER,EACH,CAT-CBL,Cable,Prysmian,U0LDC x 2HUM sqmm R74R/R8R0 FK5W,,,,,,,,,,,,,
IOCL,IOCL-DEMO-59703B,PPE 3M Y6AX-76NO-CNHB-5I64 7 NITRILE ANSI RED,EACH,CAT-PPE,PPE,3M,Y6AX-76NO-CNHB-5I64,,7,,,,,,,,,,,
ONGC,ONGC-DEMO-6036FF,LUBRICANT SHELL E8LT L29M PIDD - 9ELW ISO VG 220 MINERAL NLGI 1 297 L,EACH,CAT-LUB,Lubricant,Shell,E8LT L29M PIDD - 9ELW,,,,,,,,,,,,,
IOCL,IOCL-DEMO-C6CAFE,PUMP KSB JOQ0-JUTU-AOWS-KCS7 19083 GPM 118 M 4212.01 HP,EACH,CAT-PMP,Pump,KSB,JOQ0-JUTU-AOWS-KCS7,,,,,4212.01 HP,,,,,,,,
ONGC,ONGC-DEMO-697931,PUMP SULZER P3KA-X507-MDTL-4VL3 3531 M3/H 1189 M 852.14 KW,EACH,CAT-PMP,Pump,Sulzer,P3KA-X507-MDTL-4VL3,,,,,852.14 KW,,,,,,,,
NTPC,NTPC-DEMO-3E5173,VALVE FLOWSERVE 27F0-LTE5-64OK-W0Y4-BLK0-4OSB 12.86 MM 300# LCC WAFER,EACH,CAT-VLV,Valve,Flowserve,27F0-LTE5-64OK-W0Y4-BLK0-4OSB,,12.86 mm,300#,,,,,,,LCC,,Wafer,
IOCL,IOCL-DEMO-635EB5,ELECTRICAL COMPONENT SIEMENS X2OQ-P9EY-I75X-LR7F 5443.37 KA 693010 KV 1P 32 KA,EACH,CAT-ELC,Electrical Component,Siemens,X2OQ-P9EY-I75X-LR7F,,,,,,,,,,,,,
NTPC,NTPC-DEMO-1D9306,GASKET LAMONS 5RXZ-MTWC-A4EB-HYND-FWMS-PJN2 35.78 MM 150# CNAF PTFE,EACH,CAT-GSK,Gasket,Lamons,5RXZ-MTWC-A4EB-HYND-FWMS-PJN2,,35.78 mm,150#,,,,,,,,,,
IOCL,IOCL-DEMO-E53C0F,GASKET LAMONS KCRT-TU5Z-55P3-8B5A-A6LW-5TTD 13.53 INCH 600# PTFE SS304,EACH,CAT-GSK,Gasket,Lamons,KCRT-TU5Z-55P3-8B5A-A6LW-5TTD,,13.53 inch,600#,,,,,,,,,,
ONGC,ONGC-DEMO-059585,GASKET FLEXITALLIC M9RW-NZC2-DEN1-XVMZ-IU91-SB7T 46.61 MM 1500# RTJ GRAPHITE/SS316,EACH,CAT-GSK,Gasket,Flexitallic,M9RW-NZC2-DEN1-XVMZ-IU91-SB7T,,46.61 mm,1500#,,,,,,,,,,
ONGC,ONGC-DEMO-F3CDA6,VALVE KITZ TRJO-PTF4-7NHD-VX3V-H8V2-ZC95 55.37 INCH PN40 CF8M BUTT WELD,EACH,CAT-VLV,Valve,KITZ,TRJO-PTF4-7NHD-VX3V-H8V2-ZC95,,55.37 inch,PN40,,,,,,,CF8M,,Butt Weld,
BHEL,BHEL-DEMO-56C212,FLANGE MELESI TZ71-Z47T-90CA-42CA-EFTS 10.79 MM 300# LAP JOINT RAISED FACE (RF),EACH,CAT-FLG,Flange,Melesi,TZ71-Z47T-90CA-42CA-EFTS,,10.79 mm,300#,,,,,,,,,,
ONGC,ONGC-DEMO-92A8EF,ELECTRICAL COMPONENT SIEMENS MJGH-JTHX-MESX-FP67 3495.11 A 87268 V 1P 81 KA,EACH,CAT-ELC,Electrical Component,Siemens,MJGH-JTHX-MESX-FP67,,,,,,,,,,,,,
ONGC,ONGC-DEMO-031BDC,MOTOR CROMPTON GREAVES SV5A-TGFA-EW0H-EX48-AX7L 2293.62 KW 10210 V 50 HZ 1500 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,Crompton Greaves,SV5A-TGFA-EW0H-EX48-AX7L,,,,10210 V,2293.62 kW,50 HZ,,,,,,,
BHEL,BHEL-DEMO-CAC585,GASKET FLEXITALLIC E2SP-5HK7-UXXJ-VFT8-2LRZ-JVZ0 23.35 MM 2500# CNAF GRAPHITE/SS316,EACH,CAT-GSK,Gasket,Flexitallic,E2SP-5HK7-UXXJ-VFT8-2LRZ-JVZ0,,23.35 mm,2500#,,,,,,,,,,
SAIL,SAIL-DEMO-09F6F7,CABLE PRYSMIAN YX0SC X GP3T SQMM BPPU/I9M4 1FOR 42 EACH 309.38 MM2 11KV RUBBER,EACH,CAT-CBL,Cable,Prysmian,YX0SC x GP3T sqmm BPPU/I9M4 1FOR,,,,,,,,,,,,,
IOCL,IOCL-DEMO-6C3063,VALVE CRANE UFJX-6OUO-BSRX-DPSR-T0GM-3EPR 36.65 MM 900# WCB LUG,EACH,CAT-VLV,Valve,Crane,UFJX-6OUO-BSRX-DPSR-T0GM-3EPR,,36.65 mm,900#,,,,,,,WCB,,Lug,
IOCL,IOCL-DEMO-77D50D,INSTRUMENTATION YOKOGAWA TLIY-5XGT-4G55-4Y1V-EHWW 7032 DEGC 4-20MA FLANGED 2 INCH 1.0%,EACH,CAT-INS,Instrumentation,Yokogawa,TLIY-5XGT-4G55-4Y1V-EHWW,,,,,,,,,,,,,
SAIL,SAIL-DEMO-EEC757,FLANGE GALPERTI N8YV-3W0E-SMXN-Z9XQ-KYVC 49.9 INCH 150# THREADED FLAT FACE (FF),EACH,CAT-FLG,Flange,Galperti,N8YV-3W0E-SMXN-Z9XQ-KYVC,,49.9 inch,150#,,,,,,,,,,
SAIL,SAIL-DEMO-9EE9E2,PUMP FLOWSERVE 3O9W-O347-QFOD-OV25 375 GPM 389 FT 4201.58 HP,EACH,CAT-PMP,Pump,Flowserve,3O9W-O347-QFOD-OV25,,,,,4201.58 HP,,,,,,,,
ONGC,ONGC-DEMO-3334E2,GASKET LAMONS CGM5-THF2-FH3X-VCG6-BUQZ-R17Z 68.58 MM 2500# SPIRAL WOUND SOFT IRON,EACH,CAT-GSK,Gasket,Lamons,CGM5-THF2-FH3X-VCG6-BUQZ-R17Z,,68.58 mm,2500#,,,,,,,,,,
ONGC,ONGC-DEMO-06C143,INSTRUMENTATION ENDRESS+HAUSER MNJO-X7VS-2T5Q-1M4M-GQ4R 1303 DEGC MODBUS 1/2 NPT 0.5%,EACH,CAT-INS,Instrumentation,Endress+Hauser,MNJO-X7VS-2T5Q-1M4M-GQ4R,,,,,,,,,,,,,
SAIL,SAIL-DEMO-F25A46,LUBRICANT KLÜBER RH9L KH8G TEBT - CE42 SAE 10W-40 PAG NLGI 3 402 L,EACH,CAT-LUB,Lubricant,Klüber,RH9L KH8G TEBT - CE42,,,,,,,,,,,,,
BHEL,BHEL-DEMO-536E52,FLANGE ULMA OLFA-1HM2-6EU4-L3W3-2P93 11.52 MM 150# WELD NECK RAISED FACE (RF),EACH,CAT-FLG,Flange,Ulma,OLFA-1HM2-6EU4-L3W3-2P93,,11.52 mm,150#,,,,,,,,,,
SAIL,SAIL-DEMO-97109C,BEARING FAG QO5WURA3CD35 (E.G. 6204-2RS1/C3) 1339 INCH 1454 INCH 67 MM Z,EACH,CAT-BRG,Bearing,FAG,QO5WURA3CD35 (e.g. 6204-2RS1/C3),,,,,,,,,Z,,,,
BHEL,BHEL-DEMO-03BC66,MOTOR WEG ACPC-88BT-1N5B-BKIK-PMEQ 2829.42 HP 904 KV 50 HZ 1000 RPM ODP,EACH,CAT-MTR,Motor,WEG,ACPC-88BT-1N5B-BKIK-PMEQ,,,,904 KV,2829.42 HP,50 HZ,,,,,,,
BHEL,BHEL-DEMO-F813A4,VALVE KITZ K5JC-7R4W-LI46-TZLA-FBQE-IAO5 63.49 INCH PN40 LCC WAFER,EACH,CAT-VLV,Valve,KITZ,K5JC-7R4W-LI46-TZLA-FBQE-IAO5,,63.49 inch,PN40,,,,,,,LCC,,Wafer,
IOCL,IOCL-DEMO-B1CD51,MOTOR CROMPTON GREAVES MTOJ-LNEP-A3GV-A8H6-ZL9N 7451.38 HP 6789 V 60 HZ 750 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,Crompton Greaves,MTOJ-LNEP-A3GV-A8H6-ZL9N,,,,6789 V,7451.38 HP,60 HZ,,,,,,,
