cpse_code,material_code,description,uom,category,subcategory,manufacturer,manufacturer_part_number,material_grade,size,pressure_class,voltage,power,frequency,diameter,schedule,seal_type,body_material,trim_material,end_connection,plant
BUS,BUS-SYN-260264,[SYN] ELECTRICAL 3780.6 COMPONENT 17 315030 EATON KV A 2P KA HQKL-7QZ4-HKV4-ZW60,EACH,CAT-ELC,Electrical Component,Eaton,HQKL-7QZ4-HKV4-ZW60,,,,,,,,,,,,,PLANT-1
AHM,AHM-SYN-969104,[SYN] LUBRICANT TOTALENERGIES RIYO LX2D FKNL - JXTT ISO VG 220 PAG NLGI 2 779 KG,EACH,CAT-LUB,Lubricant,TotalEnergies,RIYO LX2D FKNL - JXTT,,,,,,,,,,,,,PLANT-4
AHM,AHM-SYN-125441,[SYN] FLANGE ULMA NHR4-NLEZ-U6WV-US3V-6VAE 7.27 MM 600# SLIP-ON RAISED FACE (RF),EACH,CAT-FLG,Flange,Ulma,NHR4-NLEZ-U6WV-US3V-6VAE,,7.27 mm,600#,,,,,,,,,,PLANT-2
NEC,NEC-SYN-641464,[SYN] BRNG TIMKEN 8QNQIM3ZTT00 (E.G. 6204-2RS1/C3) 1363 INCH 1067 MM 465 INCH OPEN,EACH,CAT-BRG,Bearing,Timken,8QNQIM3ZTT00 (e.g. 6204-2RS1/C3),,,,,,,,,Open,,,,PLANT-3
CPI,CPI-SYN-312378,[SYN] FASTENER HILTI VSEB-4RLXXQ8GK-M6DK-OM91 54 INCH 476 MM 10.9 UNF,EACH,CAT-FST,Fastener,Hilti,VSEB-4RLXxQ8GK-M6DK-OM91,,,,,,,54 inch,,,,,,PLANT-3
CPI,CPI-SYN-184511,[SYN] INSTRUMENTATION YOKOGAWA 3VM6-J59L-PBRE-Y926-T2E6 3640 DEGC 4-20MA 1/4 NPT 0.5%,EACH,CAT-INS,Instrumentation,Yokogawa,3VM6-J59L-PBRE-Y926-T2E6,,,,,,,,,,,,,PLANT-5
NEC,NEC-SYN-517166,[SYN] VALVE VELAN XIQZ-31O2-ZRP7-7TK6-9O4C-WR1H 68.26 MM 2500# CF8M SOCKET WELD,EACH,CAT-VLV,Valve,Velan,XIQZ-31O2-ZRP7-7TK6-9O4C-WR1H,,68.26 mm,2500#,,,,,,,CF8M,,Socket Weld,PLANT-1
AHM,AHM-SYN-324614,[SYN] FASTENER 2D3P-FWUGXMPDH-3QCC-SZZY A4-80 123 UNC MM 39 KAMAX INCH,EACH,CAT-FST,Fastener,Kamax,2D3P-FWUGxMPDH-3QCC-SZZY,,,,,,,39 inch,,,,,,PLANT-4
AHM,AHM-SYN-294322,[SYN] LUBRICANT TOTALENERGIES D6DL GJVM RUE9 - NWR2 ISO VG 68 MINERAL NLGI 3 221 KG,EACH,CAT-LUB,Lubricant,TotalEnergies,D6DL GJVM RUE9 - NWR2,,,,,,,,,,,,,PLANT-4
AHM,AHM-SYN-914330,[SYN] INSTRUMENTATION FLANGED 1297 1BP9-JSZM-T43U-CQEH-BU44 PSI 2 INCH HART 0.25% HONEYWELL,EACH,CAT-INS,Instrumentation,Honeywell,1BP9-JSZM-T43U-CQEH-BU44,,,,,,,,,,,,,PLANT-5
AHM,AHM-SYN-595487,[SYN] VALVE 41.64 INCH THREADED A105 FXZI-CUV5-4XB9-6EKW-WCR1-0N17 900# FLOWSERVE,EACH,CAT-VLV,Valve,Flowserve,FXZI-CUV5-4XB9-6EKW-WCR1-0N17,,41.64 inch,900#,,,,,,,A105,,Threaded,PLANT-5
AHM,AHM-SYN-238645,[SYN] FASTENER BOSSARD RWJ6-6PLSXS903-XHQE-KAC7 72 MM 282 INCH B7 METRIC FINE,EACH,CAT-FST,Fastener,Bossard,RWJ6-6PLSxS903-XHQE-KAC7,,,,,,,72 mm,,,,,,PLANT-1
NEC,NEC-SYN-110554,[SYN] CABLE LAPP 501BC X 7ULN SQMM LXF5/XD7I KVNM 28 EACH 889.27 MM2 1.1KV PVC,EACH,CAT-CBL,Cable,LAPP,501BC x 7ULN sqmm LXF5/XD7I KVNM,,,,,,,,,,,,,PLANT-4
GME,GME-SYN-321693,[SYN] LUBRICANT TOTALENERGIES VG NLGI SILICONE L 68 QNYP DKSV 1 - ISO 6EPO 76 4IF7,EACH,CAT-LUB,Lubricant,TotalEnergies,6EPO DKSV QNYP - 4IF7,,,,,,,,,,,,,PLANT-1
GME,GME-SYN-373508,[SYN] FASTENER INCH FINE 8.8 UGBN-QWWAXR743-CMU7-56KU WÜRTH METRIC 273 80 INCH,EACH,CAT-FST,Fastener,Würth,UGBN-QWWAxR743-CMU7-56KU,,,,,,,80 inch,,,,,,PLANT-1
CPI,CPI-SYN-231165,[SYN] ELECTRICAL 2997.08 KA EATON V 4P A 417868 COMPONENT FHPU-VXO3-9GKZ-AI2R 10,EACH,CAT-ELC,Electrical Component,Eaton,FHPU-VXO3-9GKZ-AI2R,,,,,,,,,,,,,PLANT-3
GME,GME-SYN-380305,[SYN] MOTOR CROMPTON GREAVES YLJZ-DVRI-K1TH-E0ZK-79AW 388.95 KW 9165 V 50 HZ 750 RPM TEFC,EACH,CAT-MTR,Motor,Crompton Greaves,YLJZ-DVRI-K1TH-E0ZK-79AW,,,,9165 V,388.95 kW,50 HZ,,,,,,,PLANT-5
NEC,NEC-SYN-840133,[SYN] PPE BLUE 388 Q6MA-ULRE-MOQW-24UC HONEYWELL 11 NITRILE EN,EACH,CAT-PPE,PPE,Honeywell,Q6MA-ULRE-MOQW-24UC,,11,,,,,,,,,,,PLANT-1
BUS,BUS-SYN-135752,[SYN] PIPE VALLOUREC ZL3H-9PQR-FME5-CNI7-E1JM 105.88 MM STD ASTM A333 GR 6 6 M,EACH,CAT-PIP,Pipe,Vallourec,ZL3H-9PQR-FME5-CNI7-E1JM,ASTM A333 Gr 6,,,,,,105.88 mm,STD,,,,,PLANT-3
CPI,CPI-SYN-608094,[SYN] BRNG FAG 21IELNDSCOAE (E.G. 6204-2RS1/C3) 1469 MM 1532 INCH 169 INCH OPEN,EACH,CAT-BRG,Bearing,FAG,21IELNDSCOAE (e.g. 6204-2RS1/C3),,,,,,,,,Open,,,,PLANT-3
GME,GME-SYN-239654,[SYN] FASTENER METRIC 18 62 HILTI INCH A4-80 INCH COARSE S23M-W11GXRVSQ-118U-RKFB,EACH,CAT-FST,Fastener,Hilti,S23M-W11GxRVSQ-118U-RKFB,,,,,,,62 inch,,,,,,PLANT-5
AHM,AHM-SYN-508598,[SYN] PPE MSA SAFETY KEVLAR EN Z2XY-AKPK-3HE4-5AAP 397 RED 7,EACH,CAT-PPE,PPE,MSA Safety,Z2XY-AKPK-3HE4-5AAP,,7,,,,,,,,,,,PLANT-3
NEC,NEC-SYN-991393,[SYN] PMP HP 13263 3238.12 GPM 534 P0QH-GH5H-V9A8-NBG1 FT KSB,EACH,CAT-PMP,Pump,KSB,P0QH-GH5H-V9A8-NBG1,,,,,3238.12 HP,,,,,,,,PLANT-4
BUS,BUS-SYN-709133,[SYN] INSTRUMENTATION YOKOGAWA R93P-NE3P-ZQBH-KM93-W883 3642 BAR 0-10V FLANGED 2 INCH 0.1%,EACH,CAT-INS,Instrumentation,Yokogawa,R93P-NE3P-ZQBH-KM93-W883,,,,,,,,,,,,,PLANT-3
GME,GME-SYN-248615,[SYN] INSTRUMENTATION 1/4 NPT G7HY-XYAL-991O-6AON-OTGV BAR 260 PROFIBUS 1.0% ROSEMOUNT,EACH,CAT-INS,Instrumentation,Rosemount,G7HY-XYAL-991O-6AON-OTGV,,,,,,,,,,,,,PLANT-4
BUS,BUS-SYN-163074,[SYN] LUBRIZANT KLÜBER WQ5I 2JCG O0J9 - PBWM ISO VG 220 ESTER NLGI 0 845 L,EACH,CAT-LUB,Lubricant,Klüber,WQ5I 2JCG O0J9 - PBWM,,,,,,,,,,,,,PLANT-3
GME,GME-SYN-618648,[SYN] PIPE VALLOUREC DUG6-ES7Q-AY5I-XORJ-MQZH 50.4 MM XS ASTM A312 TP316L 11 FT,EACH,CAT-PIP,Pipe,Vallourec,DUG6-ES7Q-AY5I-XORJ-MQZH,ASTM A312 TP316L,,,,,,50.4 mm,XS,,,,,PLANT-1
GME,GME-SYN-757877,[SYN] GASKET GARLOCK 7QKJ-GUFP-52B9-KL08-6GFA-8834 27.94 INCH 300# SPIRAL WOUND PTFE,EACH,CAT-GSK,Gasket,Garlock,7QKJ-GUFP-52B9-KL08-6GFA-8834,,27.94 inch,300#,,,,,,,,,,PLANT-4
NEC,NEC-SYN-296762,[SYN] FLANGE MELESI DLH2-U4BV-7HPE-78WL-FB61 7.27 INCH 2500# LAP JOINT RING TYPE JOINT (RTJ),EACH,CAT-FLG,Flange,Melesi,DLH2-U4BV-7HPE-78WL-FB61,,7.27 inch,2500#,,,,,,,,,,PLANT-2
NEC,NEC-SYN-817633,[SYN] BEARING MM 1535 MM (E.G. SKF 6204-2RS1/C3) 310 Z 1VGRPI4AQBRZ 1438 INCH,EACH,CAT-BRG,Bearing,SKF,1VGRPI4AQBRZ (e.g. 6204-2RS1/C3),,,,,,,,,Z,,,,PLANT-1
BUS,BUS-SYN-224983,[SYN] GASKET KLINGER 1QJ2-ZIKO-ZTPZ-F9WY-TQ34-RKI4 50.01 INCH 900# PTFE GRAPHITE/SS316,EACH,CAT-GSK,Gasket,Klinger,1QJ2-ZIKO-ZTPZ-F9WY-TQ34-RKI4,,50.01 inch,900#,,,,,,,,,,PLANT-1
AHM,AHM-SYN-535353,[SYN] CABLE MM2 A9J7 1GXVC NB5N/K3YV RUBBER 246.89 EACH 3.3KV 91 SQMM HAVELLS WLHB X,EACH,CAT-CBL,Cable,Havells,1GXVC x A9J7 sqmm NB5N/K3YV WLHB,,,,,,,,,,,,,PLANT-1
NEC,NEC-SYN-863228,[SYN] LUBRICANT SHELL UK7X GK98 ZZYN - CWL5 SAE 10W-40 MINERAL NLGI 2 593 L,EACH,CAT-LUB,Lubricant,Shell,UK7X GK98 ZZYN - CWL5,,,,,,,,,,,,,PLANT-1
AHM,AHM-SYN-662133,[SYN] FASTENER WÜRTH GYP2-O4SCXIDZY-CBZ2-4QSN 54 MM 299 INCH 8.8 UNC,EACH,CAT-FST,Fastener,Würth,GYP2-O4SCxIDZY-CBZ2-4QSN,,,,,,,54 mm,,,,,,PLANT-4
AHM,AHM-SYN-498575,[SYN] PUMP FLOWSERVE PTML-BUQD-0O3T-DJQD 16123 M3/H 2278 FT 896.28 KW,EACH,CAT-PMP,Pump,Flowserve,PTML-BUQD-0O3T-DJQD,,,,,896.28 KW,,,,,,,,PLANT-1
BUS,BUS-SYN-883306,[SYN] FLANGE 12.14 ULMA TYPE V4I8-J6NG-5TDB-O3V3-Q37A RING 150# SOCKET WELD INCH JOINT (RTJ),EACH,CAT-FLG,Flange,Ulma,V4I8-J6NG-5TDB-O3V3-Q37A,,12.14 inch,150#,,,,,,,,,,PLANT-3
BUS,BUS-SYN-628652,[SYN] FASTENER BOSSARD W84R-14EZX7MDD-D0QO-20TW 29 MM 327 INCH 10.9 METRIC FINE,EACH,CAT-FST,Fastener,Bossard,W84R-14EZx7MDD-D0QO-20TW,,,,,,,29 mm,,,,,,PLANT-4
BUS,BUS-SYN-497812,[SYN] INSTRUMENTATION HONEYWELL M5Q9-N11X-FEIJ-DXFP-WMK6 4205 4-20MA BAR 0.1% SANITARY,EACH,CAT-INS,Instrumentation,Honeywell,M5Q9-N11X-FEIJ-DXFP-WMK6,,,,,,,,,,,,,PLANT-4
CPI,CPI-SYN-484103,[SYN] VALVE VELAN NQCL-DAFY-MDPV-1IW6-BNAL-MJSH 63.09 MM PN40 WCB WAFER,EACH,CAT-VLV,Valve,Velan,NQCL-DAFY-MDPV-1IW6-BNAL-MJSH,,63.09 mm,PN40,,,,,,,WCB,,Wafer,PLANT-4
CPI,CPI-SYN-504908,[SYN] PMP ITT GOULDS RPL6-IKWG-N9JY-ELS8 4635 GPM 691 M 154.22 HP,EACH,CAT-PMP,Pump,ITT Goulds,RPL6-IKWG-N9JY-ELS8,,,,,154.22 HP,,,,,,,,PLANT-1
AHM,AHM-SYN-640942,[SYN] VALVE LUG INCH EMERSON 28.14 CF8M 2500# UX94-N0X6-9GS8-5NR2-ANG0-6R7I,EACH,CAT-VLV,Valve,Emerson,UX94-N0X6-9GS8-5NR2-ANG0-6R7I,,28.14 inch,2500#,,,,,,,CF8M,,Lug,PLANT-3
NEC,NEC-SYN-126998,[SYN] LUBRICANT CASTROL 44KI 4LOC XMEN - UQC4 ISO VG 46 SYNTHETIC (PAO) NLGI 1 685 L,EACH,CAT-LUB,Lubricant,Castrol,44KI 4LOC XMEN - UQC4,,,,,,,,,,,,,PLANT-1
GME,GME-SYN-225620,[SYN] FLANGE MELESI 12O7-S6R3-FLWO-8Z0P-UI7W 62.99 MM 600# BLIND FLAT FACE (FF),EACH,CAT-FLG,Flange,Melesi,12O7-S6R3-FLWO-8Z0P-UI7W,,62.99 mm,600#,,,,,,,,,,PLANT-4
NEC,NEC-SYN-458713,[SYN] ELECTRICAL COMPONENT SIEMENS DSDQ-XM4C-DVPP-DUAO 5584.74 A 277835 V 2P 110 KA,EACH,CAT-ELC,Electrical Component,Siemens,DSDQ-XM4C-DVPP-DUAO,,,,,,,,,,,,,PLANT-2
CPI,CPI-SYN-866045,[SYN] GASKET FLEXITALLIC 2ZJJ-XGLK-6K73-PZEU-CR5H-C2SR 3.19 MM 1500# PTFE SS304,EACH,CAT-GSK,Gasket,Flexitallic,2ZJJ-XGLK-6K73-PZEU-CR5H-C2SR,,3.19 mm,1500#,,,,,,,,,,PLANT-1
GME,GME-SYN-422046,[SYN] CABLE 17.36 ZQZH LAPP AWG DUEE/5646 X 89 SQMM PVC 33KV 92YN EACH PNL2C,EACH,CAT-CBL,Cable,LAPP,PNL2C x 92YN sqmm DUEE/5646 ZQZH,,,,,,,,,,,,,PLANT-1
AHM,AHM-SYN-813341,[SYN] LUBRICANT TOTALENERGIES QSDT CRH1 78DL - J1CB SAE 10W-40 ESTER NLGI 3 614 L,EACH,CAT-LUB,Lubricant,TotalEnergies,QSDT CRH1 78DL - J1CB,,,,,,,,,,,,,PLANT-2
BUS,BUS-SYN-524043,[SYN] PUMP 1826 MQQZ-3EFH-U9U8-YSP7 1827 FLOWSERVE HP M3/H FT 1794.68,EACH,CAT-PMP,Pump,Flowserve,MQQZ-3EFH-U9U8-YSP7,,,,,1794.68 HP,,,,,,,,PLANT-4
NEC,NEC-SYN-274349,[SYN] MOTOZ CROMPTON GREAVES RUKG-DWNS-K7D9-H923-5IU5 8935.96 KW 2532 KV 50 HZ 1000 RPM TEFC,EACH,CAT-MTR,Motor,Crompton Greaves,RUKG-DWNS-K7D9-H923-5IU5,,,,2532 KV,8935.96 kW,50 HZ,,,,,,,PLANT-5
NEC,NEC-SYN-914270,[SYN] INSTRUMENTATION WIKA B6O5-4KZQ-XKER-4YFG-G54S 8176 PSI 4-20MA 1/4 NPT 0.25%,EACH,CAT-INS,Instrumentation,WIKA,B6O5-4KZQ-XKER-4YFG-G54S,,,,,,,,,,,,,PLANT-5
CPI,CPI-SYN-383414,[SYN] INSTRUMENTATION ROSEMOUNT HODZ-3S5G-TPCF-4BKB-VDZF 1066 DEGF 4-20MA 1/4 NPT 0.25%,EACH,CAT-INS,Instrumentation,Rosemount,HODZ-3S5G-TPCF-4BKB-VDZF,,,,,,,,,,,,,PLANT-2
GME,GME-SYN-337851,[SYN] BEARING SKF A5GBYQFPWIDF (E.G. 6204-2RS1/C3) 1048 INCH 1001 MM 434 INGH NR,EACH,CAT-BRG,Bearing,SKF,A5GBYQFPWIDF (e.g. 6204-2RS1/C3),,,,,,,,,NR,,,,PLANT-1
BUS,BUS-SYN-497254,[SYN] INSTRUMENTATION ROSEMOUNT 0.25% BAR R5IH-ZS6W-IETC-FPUF-N2T2 PROFIBUS 4802 1/2 NPT,EACH,CAT-INS,Instrumentation,Rosemount,R5IH-ZS6W-IETC-FPUF-N2T2,,,,,,,,,,,,,PLANT-1
GME,GME-SYN-589374,[SYN] FASTENER HILTI WV9B-HXIXXPS3I-MVTM-9OJK 74 INCH 403 MM 12.9 UNC,EACH,CAT-FST,Fastener,Hilti,WV9B-HXIXxPS3I-MVTM-9OJK,,,,,,,74 inch,,,,,,PLANT-5
BUS,BUS-SYN-466700,[SYN] ELECTRICAL COMPONENT ABB KO1J-4Q3O-V3L7-ADCX 6251.51 A 429185 KV 3P 127 KA,EACH,CAT-ELC,Electrical Component,ABB,KO1J-4Q3O-V3L7-ADCX,,,,,,,,,,,,,PLANT-4
BUS,BUS-SYN-768809,[SYN] INSTRUMENTATION WIKA YX9F-NCSJ-RVC9-ZROU-LO3P 8370 BAR 0-10V 1/4 NPT 0.1%,EACH,CAT-INS,Instrumentation,WIKA,YX9F-NCSJ-RVC9-ZROU-LO3P,,,,,,,,,,,,,PLANT-4
NEC,NEC-SYN-838824,[SYN] PUMP FLOWSERVE RJT2-ZWEP-RQ89-O63T 9911 M3/H 814 FT 2428.03 KW,EACH,CAT-PMP,Pump,Flowserve,RJT2-ZWEP-RQ89-O63T,,,,,2428.03 KW,,,,,,,,PLANT-5
GME,GME-SYN-809332,[SYN] PIPE TENARIS 8WR5-RTQH-HE0Q-H1XJ-NAN5 89.19 INCH STD ASTM A312 TP316L 6 M,EACH,CAT-PIP,Pipe,Tenaris,8WR5-RTQH-HE0Q-H1XJ-NAN5,ASTM A312 TP316L,,,,,,89.19 inch,STD,,,,,PLANT-1
BUS,BUS-SYN-540478,[SYN] FASTENER BOSSARD R4P2-HX73XKVIQ-N52V-80NH 98 MM 174 MM A2-70 METRIC COARSE,EACH,CAT-FST,Fastener,Bossard,R4P2-HX73xKVIQ-N52V-80NH,,,,,,,98 mm,,,,,,PLANT-3
NEC,NEC-SYN-204968,[SYN] GASKET LAMONS S5U8-P8VD-DFD3-Y8S4-5RZ8-3VRI 9.08 MM 900# RTJ SOFT IRON,EACH,CAT-GSK,Gasket,Lamons,S5U8-P8VD-DFD3-Y8S4-5RZ8-3VRI,,9.08 mm,900#,,,,,,,,,,PLANT-5
BUS,BUS-SYN-661045,[SYN] MTR WEG FVGM-2N0D-NIB6-OYXI-VCKX 2623.93 KW 10005 KV 50 HZ 1200 RPM ODP,EACH,CAT-MTR,Motor,WEG,FVGM-2N0D-NIB6-OYXI-VCKX,,,,10005 KV,2623.93 kW,50 HZ,,,,,,,PLANT-3
GME,GME-SYN-604652,[SYN] MOTOR WEG LCXN-5PHO-CZD3-VM4X-9590 2249.02 HP 6067 KV 60 HZ 900 RPM TENV,EACH,CAT-MTR,Motor,WEG,LCXN-5PHO-CZD3-VM4X-9590,,,,6067 KV,2249.02 HP,60 HZ,,,,,,,PLANT-4
BUS,BUS-SYN-567681,[SYN] PIPE VALLOUREC M0R9-PKBI-0N82-EZZL-2HS9 9.58 MM SCH160 API 5L X52 9 M,EACH,CAT-PIP,Pipe,Vallourec,M0R9-PKBI-0N82-EZZL-2HS9,API 5L X52,,,,,,9.58 mm,SCH160,,,,,PLANT-2
BUS,BUS-SYN-450239,[SYN] FASTENER WÜRTH VU7M-7FLRX4J6F-SCXY-9ZFH 20 INCH 79 MM 8.8 METRIC FINE,EACH,CAT-FST,Fastener,Würth,VU7M-7FLRx4J6F-SCXY-9ZFH,,,,,,,20 inch,,,,,,PLANT-2
AHM,AHM-SYN-500733,[SYN] PPE HONEYWELL D6RR-2RS6-MHCH-8UY7 XXL KEVLAR CE RED,EACH,CAT-PPE,PPE,Honeywell,D6RR-2RS6-MHCH-8UY7,,XXL,,,,,,,,,,,PLANT-5
NEC,NEC-SYN-518418,[SYN] ELECTRICAL COMPONENT SCHNEIDER ELECTRIC EZBM-NC1L-XGBN-Z2DZ 4997.82 KA 665447 V 2P 78 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,EZBM-NC1L-XGBN-Z2DZ,,,,,,,,,,,,,PLANT-5
CPI,CPI-SYN-617752,[SYN] PIPE ARCELORMITTAL ZLYH-W34W-DULP-AESF-A7BP 47.56 INCH XXS ASTM A333 GR 6 9 M,EACH,CAT-PIP,Pipe,ArcelorMittal,ZLYH-W34W-DULP-AESF-A7BP,ASTM A333 Gr 6,,,,,,47.56 inch,XXS,,,,,PLANT-4
BUS,BUS-SYN-424416,[SYN] GASKET FLEXITALLIC 600# GRAPHITE/SS316 CORRUGATED C8R7-EKXP-3M6M-7W6L-1GAH-Y18Y 68.96 METAL MM,EACH,CAT-GSK,Gasket,Flexitallic,C8R7-EKXP-3M6M-7W6L-1GAH-Y18Y,,68.96 mm,600#,,,,,,,,,,PLANT-3
NEC,NEC-SYN-749313,[SYN] LUBRICANT TNWU KG 3 TSWV 32 SILICONE NGBT NLGI JR67 ISO KLÜBER 860 - VG,EACH,CAT-LUB,Lubricant,Klüber,NGBT TNWU TSWV - JR67,,,,,,,,,,,,,PLANT-1
BUS,BUS-SYN-693841,[SYN] CABLE 160.3 SAQO LAPP SQMM 86 EACH 8ZM5 AWG 33KV 17K7C C113/U3OA X XLPE,EACH,CAT-CBL,Cable,LAPP,17K7C x SAQO sqmm C113/U3OA 8ZM5,,,,,,,,,,,,,PLANT-2
GME,GME-SYN-882564,[SYN] VALVE FLOWSERVE DCED-4W78-W9VP-WVIA-G4ZV-0UZ8 58.77 MM 150# WCB SOCKET WELD,EACH,CAT-VLV,Valve,Flowserve,DCED-4W78-W9VP-WVIA-G4ZV-0UZ8,,58.77 mm,150#,,,,,,,WCB,,Socket Weld,PLANT-1
BUS,BUS-SYN-350956,[SYN] INSTRUMENTATION ENDRESS+HAUSER IY0D-RTDH-0SM2-TE04-0HG4 8443 DEGC 4-20MA 1/2 NPT 1.0%,EACH,CAT-INS,Instrumentation,Endress+Hauser,IY0D-RTDH-0SM2-TE04-0HG4,,,,,,,,,,,,,PLANT-2
GME,GME-SYN-928443,[SYN] FASTENER BOSSARD 0KN6-TNUKXEINL-1MBR-9YVY 95 MM 30 MM B7 METRIC FINE,EACH,CAT-FST,Fastener,Bossard,0KN6-TNUKxEINL-1MBR-9YVY,,,,,,,95 mm,,,,,,PLANT-2
GME,GME-SYN-867857,[SYN] LUBRICANT MOBIL 7WCA N8MP BHV2 - PL7E ISO VG 220 PAG NLGI 1 601 L,EACH,CAT-LUB,Lubricant,Mobil,7WCA N8MP BHV2 - PL7E,,,,,,,,,,,,,PLANT-3
NEC,NEC-SYN-167572,[SYN] PPE HONEYWELL H3HV-3VJH-BMXP-2Q7C XXL NITRILE EN 388 RED,EACH,CAT-PPE,PPE,Honeywell,H3HV-3VJH-BMXP-2Q7C,,XXL,,,,,,,,,,,PLANT-1
NEC,NEC-SYN-452064,[SYN] FASTENER BOSSARD MM UNF 185 INCH L7 53 NU9K-YJJZX3F14-4WSM-BH7L,EACH,CAT-FST,Fastener,Bossard,NU9K-YJJZx3F14-4WSM-BH7L,,,,,,,53 inch,,,,,,PLANT-4
CPI,CPI-SYN-771504,[SYN] PPE 3M L0JT-VZCG-BK8L-E8UY 9 KEVLAR EN 388 HI-VIS,EACH,CAT-PPE,PPE,3M,L0JT-VZCG-BK8L-E8UY,,9,,,,,,,,,,,PLANT-2
GME,GME-SYN-407298,[SYN] PPE M POLYCARBONATE ACNR-HSZ6-ZJ0C-JYYG BLUE CE 3M,EACH,CAT-PPE,PPE,3M,ACNR-HSZ6-ZJ0C-JYYG,,M,,,,,,,,,,,PLANT-4
BUS,BUS-SYN-781027,[SYN] LUBRICANT G03U - HEIH CASTROL 2 109 YMVY VG 32 NAU9 (PAO) ISO SYNTHETIC NLGI KG,EACH,CAT-LUB,Lubricant,Castrol,G03U YMVY NAU9 - HEIH,,,,,,,,,,,,,PLANT-1
CPI,CPI-SYN-547033,[SYN] PPE HONEYWELL 0PRO-PRRG-NHA6-4Q7K 7 NITRILE EN 397 WHITE,EACH,CAT-PPE,PPE,Honeywell,0PRO-PRRG-NHA6-4Q7K,,7,,,,,,,,,,,PLANT-1
CPI,CPI-SYN-194717,[SYN] LUBRICANT KLÜBER WMBC M4T2 3JSU - 8CEO ISO VG 32 SILICONE NLGI 1 831 KG,EACH,CAT-LUB,Lubricant,Klüber,WMBC M4T2 3JSU - 8CEO,,,,,,,,,,,,,PLANT-3
BUS,BUS-SYN-979651,[SYN] INSTRZMENTATION YOKOGAWA DVXA-M3B2-2MC5-89Z8-M35Q 2597 DEGC PROFIBUS 1/4 NPT 1.0%,EACH,CAT-INS,Instrumentation,Yokogawa,DVXA-M3B2-2MC5-89Z8-M35Q,,,,,,,,,,,,,PLANT-5
GME,GME-SYN-861467,[SYN] PPE HONEYWELL 3LXF-LF9X-RIQA-632F XL KEVLAR EN 388 RED,EACH,CAT-PPE,PPE,Honeywell,3LXF-LF9X-RIQA-632F,,XL,,,,,,,,,,,PLANT-5
CPI,CPI-SYN-709239,[SYN] PUMP GRUNDFOS HM2Z-TM83-H3V4-52JD 9520 GPM 9 FT 2055.64 HP,EACH,CAT-PMP,Pump,Grundfos,HM2Z-TM83-H3V4-52JD,,,,,2055.64 HP,,,,,,,,PLANT-5
CPI,CPI-SYN-291677,[SYN] BRNG SKF QXW9Z1WIUFJK (E.G. 6204-2RS1/C3) 197 MM 514 MM 209 MM NR,EACH,CAT-BRG,Bearing,SKF,QXW9Z1WIUFJK (e.g. 6204-2RS1/C3),,,,,,,,,NR,,,,PLANT-5
CPI,CPI-SYN-439084,[SYN] INSTRUMENTATION YOKOGAWA 9B6I-O659-7EH7-YL7X-0187 -61 PSI 4-20MA 1/2 NPT 0.1%,EACH,CAT-INS,Instrumentation,Yokogawa,9B6I-O659-7EH7-YL7X-0187,,,,,,,,,,,,,PLANT-5
BUS,BUS-SYN-851696,[SYN] BRNG NSK 7VB5UG46G549 (E.G. 6204-2RS1/C3) 758 MM 723 MM 152 INCH RS,EACH,CAT-BRG,Bearing,NSK,7VB5UG46G549 (e.g. 6204-2RS1/C3),,,,,,,,,RS,,,,PLANT-2
NEC,NEC-SYN-853528,[SYN] PIPE XS 76.05 X52 API SUL0-2PJF-KJ3V-ALSI-NNP6 M ARCELORMITTAL INCH 5L 9,EACH,CAT-PIP,Pipe,ArcelorMittal,SUL0-2PJF-KJ3V-ALSI-NNP6,API 5L X52,,,,,,76.05 inch,XS,,,,,PLANT-2
NEC,NEC-SYN-298129,[SYN] ELECTRICAL COMPONENT EATON HTQ0-00HF-MOKR-VGZD 2673.92 A 9632 KV 4P 33 KA,EACH,CAT-ELC,Electrical Component,Eaton,HTQ0-00HF-MOKR-VGZD,,,,,,,,,,,,,PLANT-3
NEC,NEC-SYN-901461,[SYN] FASTENER KAMAP PCQ3-W03RXD0L3-UCVP-ML1Q 89 INCH 372 INCH 8.8 UNF,EACH,CAT-FST,Fastener,Kamax,PCQ3-W03RxD0L3-UCVP-ML1Q,,,,,,,89 inch,,,,,,PLANT-2
AHM,AHM-SYN-570565,[SYN] GASKET FLEXITALLIC GQL4-OT8B-7URU-HGWV-K4WP-MLG9 10.54 INCH 300# RTJ SOFT IRON,EACH,CAT-GSK,Gasket,Flexitallic,GQL4-OT8B-7URU-HGWV-K4WP-MLG9,,10.54 inch,300#,,,,,,,,,,PLANT-5
GME,GME-SYN-479423,[SYN] CABLE HAVELLS W509C X DI2U SQMM BTPW/XGC8 L9M0 34 EACH 620.91 MM2 66KV RUBBER,EACH,CAT-CBL,Cable,Havells,W509C x DI2U sqmm BTPW/XGC8 L9M0,,,,,,,,,,,,,PLANT-4
AHM,AHM-SYN-275268,[SYN] INSTRUMENTATION ENDRESS+HAUSER 43FU-IB3Z-O6RY-XJCQ-NRVO 9392 DEGF PROFIBUS FLANGED 2 INCH 1.0%,EACH,CAT-INS,Instrumentation,Endress+Hauser,43FU-IB3Z-O6RY-XJCQ-NRVO,,,,,,,,,,,,,PLANT-5
